system,tier,ref,mult,func,converger,natom,charge,converged,niter,micro,fock_builds,time,E
t3_cr2,3,uhf,1,hf,trah,2,0,True,12,222,234,89.85,-2086.2047839922
t3_cr2,3,uhf,1,b3lypv5,ediis,2,0,True,34,0,34,59.35,-2088.3608649454
t2_mnh2o6_2,2,uhf,6,b3lypv5,ediis,19,2,True,24,0,24,950.03,-1608.3896181742
t3_cr2,3,uhf,1,b3lypv5,soscf,2,0,True,47,0,47,130.98,-2088.3921153606
t2_mnh2o6_2,2,uhf,6,b3lypv5,adiis,19,2,True,28,0,28,997.34,-1608.3896181742
t3_mo2,3,uhf,1,hf,cdiis,2,0,True,24,0,24,46.27,-134.9658436970
t3_mo2,3,uhf,1,hf,adiis,2,0,True,56,0,56,64.18,-134.8620744768
t3_mo2,3,uhf,1,hf,ediis,2,0,True,56,0,56,109.51,-134.8620744768
t3_cr2,3,uhf,1,b3lypv5,trah,2,0,True,10,193,203,158.87,-2088.4408612374
t3_mo2,3,uhf,1,b3lypv5,cdiis,2,0,True,16,0,16,38.73,-136.2001495054
t3_mo2,3,uhf,1,hf,trah,2,0,True,14,330,344,89.33,-134.9658436970
t3_mo2,3,uhf,1,hf,soscf,2,0,True,40,0,40,116.84,-134.8620744768
t2_feh2o6_2,2,uhf,5,b3lypv5,cdiis,19,2,False,-1,-1,-1,2401.28,nan
t2_feh2o6_2,2,uhf,5,b3lypv5,adiis,19,2,False,-1,-1,-1,2401.31,nan
t2_feh2o6_2,2,uhf,5,b3lypv5,soscf,19,2,False,-1,-1,-1,2401.24,nan
t3_mo2,3,uhf,1,b3lypv5,trah,2,0,True,10,188,198,132.71,-136.2141166373
t2_feh2o6_2,2,uhf,5,b3lypv5,trah,19,2,False,-1,-1,-1,2400.68,nan
t3_mo2,3,uhf,1,b3lypv5,soscf,2,0,True,48,0,48,194.72,-136.2141166373
t3_mo2,3,uhf,1,b3lypv5,adiis,2,0,True,59,0,59,217.77,-136.2141166373
t3_mo2,3,uhf,1,b3lypv5,ediis,2,0,True,59,0,59,292.85,-136.2141166373
t2_mnh2o6_2,2,uhf,6,hf,adiis,19,2,True,58,0,58,2034.5,-1605.1999054975
t2_feh2o6_3,2,uhf,6,b3lypv5,cdiis,19,3,False,-1,-1,-1,2400.95,nan
t2_feh2o6_3,2,uhf,6,b3lypv5,ediis,19,3,False,-1,-1,-1,2400.77,nan
t2_feh2o6_3,2,uhf,6,b3lypv5,adiis,19,3,False,-1,-1,-1,2400.86,nan
t2_feh2o6_3,2,uhf,6,b3lypv5,soscf,19,3,False,-1,-1,-1,2400.74,nan
t2_feh2o6_3,2,uhf,6,b3lypv5,trah,19,3,False,-1,-1,-1,2400.44,nan
t3_fe2s2,3,uhf,1,hf,ediis,12,-2,True,35,0,35,331.18,-4910.7990267340
t2_mnh2o6_2,2,uhf,6,b3lypv5,cdiis,19,2,False,-1,-1,-1,2400.58,nan
t2_mnh2o6_2,2,uhf,6,b3lypv5,soscf,19,2,False,-1,-1,-1,2400.52,nan
